age,bmi_wo_skew,children_wo_skew,new_feat_0,new_feat_1,new_feat_2,region_missing_is_missing,sex_enc_0,sex_enc_1,smoker_enc_0,smoker_enc_1,region_enc_0,region_enc_1,region_enc_2
-1.4404177293803346,-0.41296429201213486,-1.0431601443894039,0.12931066663461852,0.026306774324540625,0.4808998549110316,0.7302443979476629,0,1,0,1,0,0,1
-1.5116474702606657,0.5460626884374473,0.1988204443998905,0.05552163765252778,-0.06159251176176904,-0.9367847517272763,0.7302443979476629,1,0,1,0,0,1,0
-0.7993500614573563,0.4252970345252575,1.4408010331891847,-0.08856201079320565,-0.049105645085709394,-0.4521841059263386,0.7302443979476629,1,0,1,0,0,1,0
-0.44320135705570163,-1.350093341657656,-1.0431601443894039,0.26981984391423636,-0.018086697537662233,0.4844154939815075,0.7302443979476629,1,0,1,0,0,1,1
-0.5144310979360326,-0.2462853499035045,-1.0431601443894039,0.24171780057989925,0.0066477879312722915,0.013616144829516837,0.7302443979476629,1,0,1,0,0,1,1
-0.5856608388163635,-0.7910007010105518,-1.0431601443894039,0.22045145849872483,-0.012296345844633499,0.3495587746983666,0.7302443979476629,0,1,1,0,0,1,0
0.48278527438860047,0.49447637635058084,0.1988204443998905,0.10237381127813658,-0.008981270872309984,0.1254392849796834,0.7302443979476629,0,1,1,0,0,1,0
-0.15828239353437792,-0.44045355215241794,1.4408010331891847,-0.7180567545722083,-0.017649921679314902,-0.043259914514567226,0.7302443979476629,0,1,1,0,0,1,1
-0.15828239353437792,-0.08738752190448318,0.9253325154652102,-0.4372397635457937,0.0027491002974692944,-0.09904132559029859,0.7302443979476629,1,0,1,0,1,0,0
1.4800016467132335,-0.773156557169363,-1.0431601443894039,0.006085505477170239,-0.0495934927455897,-1.2550174008277168,0.7302443979476629,0,1,1,0,0,1,1
-1.013039284098349,-0.7056617147969245,-1.0431601443894039,0.15565593944456121,-0.0025291626804258144,0.6007011831639743,0.7302443979476629,1,0,1,0,1,0,0
